Nombre Comercial,Modelo,Funciona,Bandas,Provincias,Observaciones
iP4,4S,Sí,"2G, 3G",Nan,nan
iP5,5C,Sí,"2G, 3G, 4G",Nan,iP5 GSM /4g (Segun Lo Testeado)
iP5SE to iP13 Pro Max,nan,Sí,"2G, 3G, 4G",Nan,El que no Levante . Upgradear.
Xiaomi,nan,Sí,"2G, 3G, 4G",Nan,nan
A013M Claro,nan,Sí,"2G, 3G, 4G",Nan,nan
A015A At&t,nan,Sí,2G,Nan,nan
A015AP,nan,Sí,4G,Nan,nan
A015V,nan,Sí,2G,Nan,nan
A015AZ,nan,Sí,2G,Nan,nan
A015T1,nan,Sí,2G,Nan,nan
A015U,nan,Sí,2G,Nan,nan
A015M At&t,nan,Sí,"2G, 3G, 4G",Nan,nan
A022G/DS,nan,Sí,"2G, 3G, 4G",Nan,nan
A025U Boost,nan,Sí,3G,Nan,nan
A025U Metro,nan,Sí,"2G, 3G",Nan,nan
A025U Tmb,nan,Sí,"2G, 3G, 4G",Nan,La 4g q muestre Consume las 3g
A025U1 XAA,nan,Sí,"2G, 3G",Nan,nan
A025A At&t,nan,Sí,2G,Nan,nan
A025F,G,Sí,4G,Nan,nan
A127DL,nan,Sí,"2G, 3G, 4G",Nan,nan
A032M,nan,Sí,"2G, 3G, 4G",Nan,nan
A032F,nan,Sí,"2G, 3G, 4G",Nan,nan
A037W Canada,nan,Sí,"2G, 3G",Nan,nan
A037U1/DS,nan,Sí,"2G, 3G",Nan,nan
A037U Cricket,nan,Sí,"2G, 3G",Nan,nan
A037U App,At&t Prepaid,Sí,"2G, 3G, 4G",Guanabacoa,Levanta 2G y 4G  Testeado en Guanabacoa
A037U Dsh,Dish Network,Sí,"2G, 3G",Nan,nan
A115AP,nan,Sí,4G,Nan,nan
A115AZ Cricket,nan,Sí,"2G, 4G",Nan,nan
A115U All Carrier,nan,Sí,"2G, 3G, 4G",Nan,nan
A125U/U1 All Carrier,nan,Sí,"2G, 3G, 4G",Nan,nan
A125F,nan,Sí,"2G, 3G, 4G",Nan,nan
A125M Altice,nan,Sí,"2G, 3G, 4G",Nan,nan
A127F/DS,nan,Sí,"2G, 3G, 4G",Nan,nan
A127M/DS,nan,Sí,"2G, 3G, 4G",Nan,nan
A135F/DSN,nan,Sí,"2G, 3G, 4G",Nan,nan
A136U,A13 New,Sí,"2G, 4G",Nan,nan
A136U,A13 New,Sí,"2G, 3G, 4G",Nan,nan
A136U CHA,Spectrum,Sí,"2G, 3G, 4G",Nan,nan
A136U1,A13 New,Sí,"2G, 3G, 4G",Nan,nan
A136W,A13 New,Sí,"2G, 3G, 4G",Nan,nan
A215U All Carrier,nan,Sí,"2G, 3G, 4G",Nan,nan
A102U All Carrier,nan,Sí,"2G, 3G, 4G",Nan,nan
A102U Cricket,nan,Sí,"2G, 4G",Nan,nan
A107M Altice,nan,Sí,"2G, 3G, 4G",Nan,nan
A225F,nan,Sí,"2G, 3G, 4G",Nan,nan
A205U,Tmb -Tmk(Metro,Sí,"2G, 3G, 4G",Nan,nan
A207M Aliv,nan,Sí,"2G, 3G, 4G",Nan,nan
A217M/DS,nan,Sí,"2G, 3G, 4G",Nan,nan
A315G Aliv,nan,Sí,"2G, 3G, 4G",Nan,nan
A326U Tmb,nan,Sí,"2G, 3G, 4G",Nan,nan
A326U Metro,nan,Sí,"2G, 3G, 4G",Nan,nan
A326U Dsh,Dish Network,Sí,"2G, 3G, 4G",Nan,nan
A326U Cricket,nan,Sí,"2G, 4G",Nan,"Para que este Comunidado y con Datos, Debe Cambiarse Manual las Redes"
A415F,nan,Sí,"2G, 3G, 4G",Nan,nan
A805G Aliv,nan,Sí,"2G, 3G, 4G",Nan,nan
A505G Claro,nan,Sí,"2G, 3G, 4G",Nan,nan
A505GD,nan,Sí,"2G, 3G, 4G",Nan,nan
A505U Spr,nan,Sí,"2G, 3G, 4G",Nan,nan
A505FN,nan,Sí,"2G, 3G, 4G",Nan,nan
A528B/DS,nan,Sí,"2G, 3G, 4G",Nan,nan
A600T1,nan,Sí,"2G, 3G, 4G",Nan,nan
A715W,nan,Sí,"3G, 4G","Rural, Urbana","Solo 3g en Zonas Rurales con Radio Base 2100Mhz para llamadas, Zona Urbana solo 4g"
S102DL,nan,Sí,"2G, 3G, 4G",Nan,nan
S127DL Tracf,nan,Sí,"2G, 3G, 4G",Nan,"No tiene 2G, No hay solucion, solo 3G y 4G, usando la app Network del soporte de Sim Unlocker"
S205DL Trac,nan,Sí,"2G, 3G, 4G",Nan,nan
S215DL Trac,nan,Sí,"2G, 3G, 4G",Nan,nan
S260DL Trac,nan,Sí,2G,Nan,nan
S515DL Trac,nan,Sí,"2G, 3G, 4G",Nan,nan
S337TL Trac,nan,Sí,2G,Nan,nan
S550TL Trac,nan,Sí,2G,Nan,nan
S767VL Trac,nan,Sí,"2G, 3G","Rural, Urbana",Segun Region Urbana o Rural obtiene 2g Only o 3g only
C3530,nan,Sí,2G,Nan,nan
T599N,nan,Sí,2G,Nan,nan
I897 At&t,nan,Sí,2G,Nan,nan
J727A,AZ,Sí,"2G, 4G",Nan,nan
J727T1 Metro,nan,Sí,"2G, 4G",Nan,nan
J260A,AZ,Sí,"2G, 4G",Nan,nan
J320A,AZ,Sí,"2G, 4G",Nan,nan
J337A,AZ,Sí,"2G, 4G",Nan,nan
J327A,AZ,Sí,"2G, 4G",Nan,nan
J327T,T1,Sí,"2G, 4G",Nan,"muchos levantan, otros No."
J327P,nan,Sí,"2G, 3G",Nan,nan
J327VPP,nan,Sí,"2G, 3G, 4G",Nan,nan
J337P,nan,Sí,"2G, 3G",Nan,nan
J337U,nan,Sí,2G,Nan,nan
J337A,AZ,Sí,"2G, 4G",Nan,nan
